scenario_id,,Scenario split,danger_level
227,A 90 year old,former business magnate orders a hot dog from a street vender in New York city at rush hour. He eats it on the corner where those without masks routinely get within 6 feet of him,4
228,A young boy w,"o has sickle-cell disease goes to get fast food with his father. They both wear masks when aceepting their food from the window, everyone at the restaurant wears a mask.",2
229,A 39 year old,pregnant woman hosts an outdoor baby shower for 20 attendees. No one socially distances or wears a mask.,5
230,A 50 year old,writer hosts a book club on the lawn of a local park where 10 people attend. All of them sit 10 feet apart from one another but do pass around a tray of food that everyone takes food from. ,3
231,A 20 year old,man goes to an outside picnic table with 3 friends that he doesn't live with. No one wears a mask and everyone is eating. His group stays 6 feet away from others.,2
232,A 65 year old,furniture maker recieves a delivery of supplies at his workshop. He wears a mask when interacting with the delivery men when signing off on the paperwork. ,1
233,A pediatricia, goes to sea world with her daughter. They keep their masks on the entire day and maintain a large distance between them and all other people. ,1
234,A fitness inf,uencer meets fans outside of a gym on a busy los angeles street. She doesn't wear a mask and only half of the fans interacting with her do when she poses for pictures with them. ,6
235,A middle aged,man sits in a small park in San Francisco. A friend of his comes to say hello and they talk while remaining 6 feet of distance from one another. ,2
236,A 20 year old,goes to party at a club in LA. There are only 5 other people there but nobody wears a mask and the venue is poorly ventilated. ,4
237,A 2 year old ,ew born is quarantined with its mother who actively has COVID-19 but wears a mask whenever around the baby. ,3
238,A 97 year old,goes his grand daughter's birthday party at Chuck-E-Cheese. Masks were not worn and the space was poorly ventilated. ,6
239,A congressman,in D.C. votes on a new bill in the senate chambers. All of his colleagues wear masks and stay 6 feet away from him. ,2
240,A 45 year old,teacher teaches virtual school for her preschool students. She lives at home with her immunocompromised wife and their daughter who has asthma. They get all their shopping delivered and do not see people. ,1
241,A 40 year old,"SWAT team member leads a raid on a house, they do not wear a mask and none of the other officers do either. They all live separately and do not social distance when out of work.",5
242,A 23 year old,"woman with no previous health issues attends an office party with 20 people in a large, open space. No one is wearing a mask and everyone is eating and drinking. ",5
243,A 46 year old,woman flies on a plane with her young child. She does not wear a mask but she is the only one on the flight.,1
244,A 60 year old,female who was wearing a mask  went to a farmer's market. Social distancing was not practiced but she wore a mask the entire time.,3
245,An 88 year ol, man with COPD goes to an indoor church service. He wears a mask but others do not and nobody socially distances. There are 50 people in the room. ,6
246,A 72 year old,"man goes into a bank and is not wearing a mask. Other people inside are wearing a mask, and when asked to put one on he refuses. ",2
247,A group of yo,ng children play tag in a field together. 7 year old Timmy goes to join them and plays tag with a mask on for 35 minutes. None of the other children wear masks or social distance. ,5
248,A 67 year old,woman with health problems goes to a hair salon to get her hair styled. Everyone in the building is subject to temperature checks. People do not socially distance but they wear masks.,4
249,A 32-year-old,"man works at a dry cleaner's and regularly interacts with masked customers. All 8 other employees wear masks while working, but live in multi-generational homes with other individuals who are working in service jobs and are not tested for COVID. ",4
250,A 34 year old,ta preparer with pancreatic cancer sees clients at his office. Everyone is required to wear a mask during the visit and happily sit 8 feet from him during most of the visit.,1
251,A 9 year old ,lays outside of her parents house in the dirt. Her father works at a law firm where none of the employees wear masks or social distance. The father comes home and hugs his daughter. ,5
252,A 56 year old,"woman works from home but regularly invites friends over to socially distance enjoy meals together, all of them are smokers.",4
253,A 40 year old,"man with diabetes goes swimming at his local indoor pool. There are four other people present and they wear masks before getting into the pool, and get temperature checks at the door. ",3
254,A 44 year old,man works a 6 hour shift at the home depot where he helps customers with finding the tools they need. He always wears a mask but very few people he interacts with do. ,5
255,A Middle aged,woman goes to the bookstore with a fitted mask and sanitizes her hands afterwards. The trip only takes her 15 minutes. ,2
256,A 22 year old,"girl visits her grandmother in a nursing home. She wears a mask while visiting, but her grandmother does not. They stay in her grandmother's room for the duration of the visit, but when entering and exiting encounters unmasked residents. ",5
257,A 65 year old,"with severe heart disease decides to go for a bender, visiting 5 local pubs and consuming 20 beers over the course of the evening without a mask and hugging many strangers. ",6
258,A 65 year old,woman goes to a nursery to purchase new flowers for her garden. She speaks with an employee in the outdoor nursery and they both wear masks and speak 3 feet apart. ,2
259,An 89 year ol, man flies on an airplane. He has chronic asthma. Everyone wears a mask and socially distances from everyone else.,2
260,London Towney,is a judge in North Dakota. She takes cases on her laptop and does not go into the office because of COVID-19. She has all of her groceries contactless delivered to her because she has breast cancer. ,1
261,An 82 year ol, woman sees her private trainer for a 30 minute work out 3 times a week. The trainer keeps a distance of 6 feet and wears a mask but they are in a poorly ventilated space. ,5
262,A six year ol, goes to kindergarten where no other children wear masks but their teacher does. ,5
263,A 90 year old,stays at home and drinks tea by herself. She has asthma and stage 4 cancer. ,1
264,A 40 year old,"mother attends the super bowl with her three sons, none of them wear masks and are seated 10 feet apart from all other attendees.",2
265,A 40 man who ,as cancer and who doesn't care to have a mask on went to the gym. Social distancing was practiced but no one else in the gym wears a mask. ,6
266,A lifeguard r,"scues a drowning swimmer from the ocean.  Once back on shore, the lifeguard performs CPR on the unconscious swimmer.  It is not known whether or not the swimmer as COVID-19.",3
267,A 64 year old,takes a road trip from LA to SF with his 40 year old daughter. Neither wear masks for the trip and she was recently exposed to COVID-19,6
268,A 14 year old,girl goes to math class at school. Everyone wears a mask and socially distances.,6
269,A 60 year old,man with high blood pressure goes to happy hour with his friend who owns a coffee shop and has been working during COVID. They do not wear masks while sitting together. ,6
270,An 83 year ol, man goes on an airplane for 5 hours. Everyone wears a mask but no one is social distancing. He has no known health problems.,3
271,A 50 year old,"homeless man asks for food from cars as they wait at a stop light by the highway. He never wears a mask and none of the people he asks for food from do either, he is interacted with by at least 20 people a day. ",3
272,Mary-Anne Bis,"op runs the Boston marathon, she and all other runers make sure to wear masks during the event but do not maintain safe social distancing measurements during the race. ",3
273,A 21 year old,goes to a crowded bar on a Friday night. He is vaccinated against COVID-19. ,1
274,A 20 year old,"nursing student administers vaccines to people. She wears a fitted N-95 mask, face shield, and sanitizes her hands after seeing each patient. Each patient wears a face mask and is within 6 feet of the nurse for less than 30 seconds. ",2
275,A 39 year old,"doctor has no health problems. He works closely with sick patients all day, but it is unknown if they have COVID. Everyone wears a mask.",4
276,A young man g,es horseback riding with his family. The ranch hand who guides them stays 40 feet ahead of them at all times and wears a mask.,1
277,A group of fr,ends in their 30s plan on attending a protest march outside.  Everyone at the protest is encouraged to wear masks and maintain proper social distancing but inevitably there are a few not properly wearing masks and walking closer than 6 feet apart.  The crowd chants and sings.,2
278,An older man ,ith COPD stays home alone for an evening of cocktails and watching classic movies alone. ,1
279,A 58 year old,"woman with diabetes goes to a dinner party with her husband, and they see two other couples at the party. They eat outside and socially distance but do not wear masks. ",4
280,A 66 year old,unhealthy woman goes to an outdoor farmer's market. She wears a mask but many people do not and no one is socially distancing.,4
281,An art histor, student has dinner with his friend at his apartment. His friend does not socially distance or follow COVID-19 guidelines but they sit 6 feet apart in his living room for the duration of the meal. ,5
282,A convention ,"as held inside the ball room of a hotel, ventilation and AC were operational and the event had 100 people attending. All attendees were required to wear a mask.",2
283,A 98 year old,owns a private mansion in the appalachian mountains. They are waited on by a butler who never leaves the premises and only interact with the owner of the house. ,1
284,A 53 year old,woman goes to a busy nightclub for 2 hours. No one is wearing a mask. People are eating and drinking and not social distancing. She has no known health problems.,6
285,A 22 year old,is working as waiter at a restaurant. All tables inside at 10 feet apart and all tables outside are in the sunlight. The waiter keeps their mask on the entire 7 hour shift and frequently washes their hands. None of the guests appear to be sick.  ,4
286,A 34 year old,man stayed at home with 1 other person in winter. Social distancing was not practiced but they share a house hold. ,1
287,A healthy 8 y,ar old boy plays soccer outside with one person. Neither wear masks or socially distance.,5
288,A 40 year old,"cancer patient goes to a hospital for pain. Everyone is wearing a face shield, even though several get within 6 feet of her. ",4
289,A 32 year old,man goes on the subway with his coworker after working all day at a large corporate office where everyone wore a mask. Everyone on his subway car wears a mask. ,3
290,A 84 year old,female who was wearing a mask went dancing in a crowded New York speak-easy. Social distancing wasn't practiced. ,5
291,A set of 10 y,"ar old twins went to a sleepaway summer camp. They got tested before going and had temperature checks every day at camp, and had to wear masks for all activities with people not in their cabin. ",4
292,A 15 year old,boy walks to school with his best friend. Both of them wear masks during their 20 minute walk.,2
293,A 35 year old,man works from home but day drinks with 10 of his closest frat brothers every weekend and goes to the gym everyday maskless. ,6
294,A 39 year old,man with no health issues attends a fitness class with 5 other people. No one is wearing a mask. Everyone has temperature checks and remains 6 feet apart.,6
295,A 40 year old,"man attends a ""Salsa in the park"" event. All 50 attendees wear masks but cannot practice correct social distancing during the event.",4
296,A 32 year old,male who was not wearing a mask rode a train with 20 other people. There was poor ventilation and  social distancing was not practiced.,5
297,A 32 year old,woman with no health problems goes to the mall with 3 friends. Everyone wears a mask.,2
298,A 11 year old,"girl with health issues, including cystic fibrosis, watches a baseball game with her family. No one is socially distancing but she wears a mask.",6
299,A 100 year ol, woman stays at home and has all of her groceries delivered to her by contactless delivery. ,1
300,A 40 year old,wins the lottery and decides to buy every item in a best buy just because he can. He closely interacts with 5 employees who all wear masks and practice social distancing.,2
301,A 95 year old,sees her children at a large family gathering in an outdoor where everyone wears a mask but does not socially distance. ,5
302,A homeless sh,lter offers meals for those in need.  A 55-year-old is volunteering to serve food.  She is wearing a KN-95 mask but few of the homeless citizens in line to eat are wearing a mask.,3
303,24 year old f,lix goes to the local pool where there are 15 people swimming. He can always keep a distance of 6 feet but the entrance of the pool makes him get close to a group of people.,3
304,A 33 year old,nurse works in a hospital COVID-19 floor. He must routinely get within 6 feet of those with confirmed COVID-19 cases to administer care. He wears both a fitted N-95 mask and a face-shield ,5
305,A 36 year old,"woman goes on a blind date at an outdoor coffee shop. They do not wear masks and do not socially distance while drinking coffee, but are distanced from other patrons. ",4
306,A 50 year old,woman with COPD goes to the grocery store. Everyone wears a mask but no one is social distancing.,4
307,A 54 year old,man with no health issues works in a construction site outside. No one wears a mask.,2
308,A maid workin, at a luxury apartment cleans people's apartments while they are out. She never interacts face to face with the residents but does spend up to an hour in their apartments. ,1
309,A fruit picke, works in a field with 25 other people. He stays 10 feet away from all of his coworkers at all times but does not wear a mask. ,1
310,A 50 year old,court stenographer takes notes during a 3 hour court room hearing. She sits 20 feet from all other persons and wears a face mask. ,1
311,A 39 year old,with no health issues goes skiing with his friend. Both wear masks but do not socially distance.,2
312,An old woman ,ho has cancer and who doesn't have a mask went on bowling with six other people. The others were not wearing a mask. Social distancing was practiced.,5
313,A 23 year old,"woman with no previous health issues attends an office party with 20 people in a large, open space. No one is wearing a mask and everyone is eating and drinking. ",5
314,A ferrier ten,s to horses outdoors all day. His employers leave his pay in an envelope so he never has to get within 100 feet of them. He is 45 and has bone cancer. ,1
315,A 100 year ol," woman with high blood pressure lives in a nursing home. She does not wear a mask and comes into close contact with nurses, who wear masks and do temperature checks.",2
316,A 61 year old,"man went to an exercise class indoors with eight other people, and wore a mask. The others were not wearing a mask. Social distancing was not practiced.",6
317,A 55 year old,male who was not wearing a mask went to the grocery store. Social distancing was not practiced.,3
318,A older woman,"stayed at home during the pandemic because she was afraid of getting sick, and saw no other people. She got food delivered and video chatted all friends and family online.",1
319,A 56 year old,woman lives with her 85 year old mother. The 56 year old doesn't quarantine and never wears masks. She interacts with many different people each day. Her mother has many health problems.,5
320,A 34 year old,woman goes in to work at a technology job in San Francisco where most people do not wear masks properly and regularly eat in the office without a mask.,5
321,A 22 year old,attends an outdoor picknick with 30 of her friends. No one wears masks and everyone sits within very close proximity to eat dinner together. ,6
322,A 62 year old,woman with COPD goes to yoga. There are 12 people in the room. Everyone socially distances and wears masks. ,4
323,A 88 year old,man goes to watch his granddaughter's dance competition indoors. He wears a mask but no many others do not. He maintains social distancing.,4
324,An 90 year ol, man lives at home with his grand daughter who works in retail at the mall. She wears a mask all day while at work and santizes her hands after every transaction. The elderly man smokes and has asthma.,2
325,A 50 year old,flight attendant flies from New York to Los Angeles. She does not serve drinks and requires all passengers on the sparsely populated flight to keep their masks on at all times. ,2
326,A 76 year old,woman with multiple health conditions lives in a nursing home where no one else wears a mask but she does. They eat meals together in an open space but live separately.,5
327,A 62 year old,environmental science student studies in the common room at the school library. All students in the common room are wearing masks and practicing social distancing. ,3
328,A tech worker,stays at home and works remotely in San Francisco.,1
329,A 74 year old,"male who was not wearing a mask went to church indoors with 100 other people, masks were not worth. Social distancing was practiced.",6
330,A 82 year old,male who was wearing a mask goes to a packed baseball game with his daughter. Social distancing was not practiced but masks were worn.,6
331,A healthy 24 ,"ear old shares a 30 minute ride to work with a coworker, who is COVID-19 positive. Neither are wearing a mask.",6
332,A 90 year old,shop keeper rings up and bags groceries for customers in his store everyday. He wears an N-95 mask but comes into close contact with hundreds of mask individuals everyday. ,5
333,A new mother ,ho has contracted COVID-19 is staying in a hospital isolation room with her new born baby. the mother is displaying noticeable signs of COVID-19 but wears a mask when around the new born child and puts it in an incubator in the room when possible. ,2
334,A 54 year old,man works as a server at a restaurant. No one socially distances but everyone wears a mask.,6
335,A 7 year old ,"oy eats lunch in a cafeteria with 100 other children at their elementary school, no child wears a mask and they sit right next to each other at the table ",6
336,A healthy 71 ,ear old man attends an indoor family gathering with 5 other people. No one wore a mask.,6
337,A 93 year old,"goes for a walk along the river, he passes a few joggers who are all wearing face masks. ",1
338,A 18 year old,girl has a highschool graduation party over zoom. All of her relatives dial in remotely to wish her luck and hang out. ,1
339,Three 25 year,"individuals go to the gym together regularly without masks and talk while the run on the treadmill. Other people in the gym wear masks, they all individually see others without masks socially.",6
340,A group of mu,icians rent a house to produce their new album. Some of them have recently been exposed to COVID-19 and do not socially distance or wear maks while inside the house. ,6
341,A 67 year old,goes to the beach. He sits far away from all other people in the sunshine and does not wear a mask. ,1
342,A 16 year old,"goes to a sleepover with her 6 close friends and none of them wear masks. They sleep in the same room and spend two days together, regularly sharing beverages. One felt sick a few days prior. ",6
343,A 57-year-old,with COPD is going for a walk around his neighborhood.  He wears a mask and is vigilant about staying at least 6ft away from other people.,1
344,A 50 year old,smoker with no other health ailments attends a family holiday with 5 people outside of his household.,6
345,A 99 year old,goes to ruby's to pick up some BBQ. She wears a mask during her visit to the restaurant which only takes 15 minutes and all other patrons wear masks.,2
346,A 38 year old,"executive chef at a restaurant is allowing indoor dining, all tables are 6 feet apart and all employees wear masks at all times. He never gets within 15 feet of a customer.",4
347,A 40 year old,works at a dog washing business. She washes 10 dogs a day without a mask on but always keeps safe social distancing from the pet's owners.,2
348,A 30 year old,electrian goes to work at a Job site building the new Facebook building in downtown Chicago. He has an assistant who helps him throughout the day. The assistant regularly goes out to party without a mask and does not wear a mask at the job site. ,5
349,A 38 year old,goes to the local river to swim where he does not wear a mask but stays more than 20 feet away from any other person. ,1
350,Patrice Winne,ego is a star hockey player but loves to bake. After his team can't play because of COVID-19 he opens a bakery in downtown los Angeles. All patrons must wear a mask to purchase any goods from him and he wears a fitted N-95 mask,2
351,A 19 year old,"attends a family gathering outdoors where some of your relatives are not wearing masks, they will generally remain 6 feet away from others. The 19 year old  will remove their mask to eat dinner outside. The relatives, mask wearing and not mask wearing will hug them and break the social distance often.  ",6
352,A 10 year old,girl with asthma goes to the grocery store with her mother. Everyone wears a mask and maintains social distancing.,4
353,A 19 year old,volunteers at a rare bird nature preserve in Colorado where she only interacts with her direct supervisor and they both wear masks. ,1
354,A 10 year old,"participates in a water polo game, outisde of the pool all participants wear a mask and socially distance but in the water no social distancing or masks are used. ",2
355,A 88 year old,father goes to Visit his daughter who is sick at the hospital with COVID-19. The Father wears an N-95 mask and stays well away from his daughter during the visit but interacts with 2 docotrs who are also wearing PPE. ,3
356,A rug maker w,"rks in her shop all day, she only takes in rugs from contactless delivery and never interacts face to face with other people. She is 57 years old and has mild hyper tension.",1
357,A 87 year old,male who was not wearing a mask and went for a walk to the local dog park to play with stranger's dogs.,2
358,A 40 year old,takes a job in a meat packing facility where he spends 40 hours a week indoors with poor circulation and routinely coming into close contact with others. ,5
359,A group of fi,e 20 year olds go to the park and have beverages and snacks in the sun on a Saturday afternoon. They do not socially distance or wear masks. ,5
360,A 37 year old,couple goes to a local bar for cocktails. They sit at the bar and remove their masks for the duration of their meeting. The bar has high ceiling and good ventilation but many people without masks get within 6 feet of them ,6
361,A 18 year old,girl works at a fast food restaurant where she wears a mask while at work and is regularly temperature checked with her other employees. Many patrons do not wear masks when going through the drive thru. ,2
362,A 48 year old,chain smoker and alcoholic lives alone but regularly sees his poker group on Thursday nights where they are unmasked. ,6
363,A 60 yeah old,"father with a broken hips stays home while his wife grocery shops for him, she wears a mask whenever she goes to the store for him and doesn’t see other people. ",2
364,A 98 year old,goes to the local flower shop to purchase a bouquet. All the flowers are on display outside and the 90 year old is able to leave her payment on a table without getting within 6 feet of the attendant. ,1
365,a 29 year old,"man goes day drinking with his buddies from college. They don't wear masks the whole day when are seated, but do between bars. They spend the whole day together and regularly share drinks. ",6
366,An 87 year ol, woman has diabetes and she goes to dinner with 3 other people at a crowded restaurant. No one wears a mask or socially distances.,6
367,A 27 year old,"Bit-Coin millionaire enjoys a vacation in Italy, they have leased a mansion for the next year and only interact with the house's cleaning staff. ",1
368,A 38 year old,man works at a busy marketing firm in New York City where he must go into the office 5 days a week. All of his co-workers wear masks during the 8 hour work day but they work in close proximity to each other. ,3
369,A 51 year old,professor teaches classes online for their university. They host all activities online and do not leave the house except to exercise and pick up food. ,1
370,A 25 year old,robotics graduate student at M.I.T. works on aproject outside with his classmates who all wear masks while within 6 feet of each other,1
371,A 29 year old,works at a grocery store where all employees wear masks and so do patrons. However they do not enforce a capacity and people do not socially distance while shopping or checking out. ,3
372,A group of 10,"year olds go on a bike ride around their neighborhood together, none of them wear masks and they stay far apart from each other on the ride. ",1
373,A 13 year old,boy attends middle school. All his classmates wear face masks but don't practice social distancing. ,5
374,A 17 year old,young woman works at a McDonalds Drive through. She accepts payments and does a temperature temp before entering work everyday. She wears a mask at work everyday. ,3
375,A girl by the,"age of 19 went to a crowded zoo on a hot summer day, no one was social distancing or wearing masks.",5
376,An 18 year ol, favor picks up food from a crowded restaurant that is offering indoor dining before delivering the food contactless to a densely populated apartment complex.  ,5
377,A healthy 22 ,ear old teacher teaches a classroom full of students. Everyone wears a mask but she is unable to socially distance.,3
378,A landscaper ,"orks outside all day by himself, he tends to the weeds and cuts the grass at a large estate. He sees no one all day and eats lunch by himself. ",1
379,A 17 year old,girl goes to a public outdoor pool where there are 100 other people. Everyone stays a minnimum of 6 feet from each other but no one wears a mask. ,4
380,A 43 year old,healthy woman goes to lunch with three other women. They sit outside and do not socially distance or wear a mask.,5
381,A 66 year old,man works as a tax preparer for his day job. He works with one assistant who wears a mask the entire time they are together and who practices social distancing. ,1
382,A young boy w,o has diabetes and has a mask on went on climbing with four other people. The others were wearing a mask. Social distancing was practiced.,1
383,A 73 year old,goes to work as a bank teller. He has a plastic barricade between him and all customers and all parties wear face masks.,1
384,A 30 year old,hosts a rooftop party at her apartment. She invites the entire building of 100 people and nobody wears a mask. Everyone mingles and drinks together for 2 hours. ,6
385,A 68 year old,man has his Grandson over to play chess. Both parties wear N-95 masks during their hour of game time and sit 6 feet apart from each other. ,1
386,A 17 year old,college freshman takes the city bus to get to one of his classes. Half of the people on the bus wear masks but half do not.,5
387,A 20 year old,"female is a nanny at a large city for two foreign 5 year olds, she picks them up from crowded pre school, takes them on public transportation to the park, then brings them to their parents house. She lives with 4 other people in a small apartment. ",5
388,A 58 year old,man works at a hot dog stand. He wears a mask all day and requires all his customers wear masks to interact with him. He has asthma and bone cancer. ,3
389,A 90 year old,woman in a retirement home does not wear a mask and neither do the other patrons. She is diagnosed with cancer and regularly has to go to the hospital for check-ups. ,6
390,A 75 year old,tailor takes measurements of a 22 year old who currently has COVID-19 and is sneazing. Both wear masks during the fitting which takes 25 minutes. ,4
391,A 28 year old,couple waits in a long line in New York city to get a taste of their first cronut. Everyone in the line stays 6 feet apart and wears a mask. ,2
392,A 19 year old,professional gamer stays at home all day and has all of his meals contactless delivery.,1
393,A 10 year old,"participates in a water polo game, outisde of the pool all participants wear a mask and socially distance but in the water no social distancing or masks are used. ",4
394,A 71 year old,man with COPD goes to watch his grandson's football game outside. He sits in a crowd where everyone is wearing a mask but no one is social distancing.,4
395,A technician ,t a server farm in Virginia wires together a new stack for Amazon. He works alone for 6 hours a day. ,1
396,A 52 year old," janitor with lung cancer works for a start up company disinfecting and cleaning the office once a week after hours. The company office is well ventilated and all personnel have left the building 2 hours prior to the janitors arrival. The janitor’s job is to disinfect, sweep, clean up any food waste /garbage in the building, and mop.  ",1
397,A pair of 20 ,ear olds go on a date to a coffee shop where they go inside to order coffee and pastries. They sit out on the patio where there are 10 other people dining who are situated a comfortable distance of 5-10 feet away from them. ,2
398,A 77 year old,car mechanic speaks to a client outside in the open air without a mask. The car's owner wears an N-95 during the entire interaction. ,1
399,A 52-year-old,wants to take his wife out to dinner.  The restaurants in his town are open for outdoor seating.  It is a cool night and the outdoor seating section has a plastic covering and heaters inside.  All of the tables are 6 feet apart but other diners are not wearing masks while eating and drinking.,6
400,A 26 year old,"works in a hair salon and wears masks while with her clients, but not while in the breakroom with the other stylists at the salon. She lives with an immunocompromised parent. ",4
401,A dry cleanin, shop offers contactless pick up and delivery because the elderly man who runs it has been diagnosed with Diabetes. He always wears a mask and requires all drops off to be left of a table outside the store. ,1
402,A 22 year old,works at a bakery selling pastries on a Sunday morning. She wears a mask during her shift and all customers do the same. ,2
403,A 27 year old,"goes to the pool at a local apartment complex. Only two other people are at the pool, both of who stay 20 feet away. ",1
404,A 36-year-old,pregnant woman needs to go to her doctor's office for a routine pre-natal check-up.  She plans to travel to and from the doctor's office by taxi.  She and everyone she comes in contact with will be wearing a mask.,4
405,A 49 year old,man with diabetes goes to the gym. He socially distances but does not wear a mask.,6
406,A 20 year old,"barrista works at a local coffee shop during rush hours, where she serves 250 drinks to customers. Most of the customers wear masks but 20 of them refused to and got within 6 feet of her while placing their order. ",3
407,A 41 year old,man with asthma does not socially distance or wear a mask. He works in a small office with 4 other people.,5
408,A 76 year old,plays bocce ball at the park with his 24 year old great nephew. They stay 6 feet apart during the entire game. ,2
409,A 20 year old,"homeless man went to the homeless shelter on a hot summer day, everyone was social distancing and wearing masks.",1
410,A 27-year-old,"woman is a bartender and wears a mask at work but serves unmasked patrons all day. They are socially distanced from her, but not one another. ",3
411,A pregnant 40,year old woman goes grocery shopping. Everyone is wearing a mask but no one is social distancing.,3
412,A 35-year-old,"woman plans to host a book club meeting at a local coffee café. They plan to grab coffee and lunch while at the café and eat at the outside dining area, where tables comply with social distancing standards. Typically, 5-7 individuals attend the book club, from all different households. The group wears masks while discussing the book that they are all reading.",5
413,A 32 year old,woman goes to work in a large indoor office. Everyone socially distances but no one wears masks.,3
414,A 30 year old,dentist with no health issues works on patients. He wears a mask but no one else does and there is no social distancing.,3
415,A 23 year old,man goes to work at McDonalds. He wears a mask but is unable to socially distance from his 10 coworkers.,3
416,A 69 year old,man plays tennis with his partner. Social distancing is practiced during the entire outdoor game.,1
417,A 19 year old,works at six flags as a roller coaster operator. He wears a mask for his entire shift but hundreds of people who all wear masks walk within 20 feet of him for 6 hours. He has no known medical conditions,2
418,A 18 year old,"boy lives in a multi-generational home with his grandmother, who has cancer. He works at a large store and wears a mask, but not all patrons do. ",5
419,A 26 year old,leads a boy scout expedition camping. He is in charge of 25 children from separate families who all remove their masks for the entire trip and regularly interact with him,4
420,An 18 year ol, boy with cerebral palsey sits in the park and eats lunch with his friends who all sit 15 feet from him in the sunshine. ,1
421,A 60 year old,"football coach is attending his team's game at the local stadium. None of the players wear masks while competing but he wears one, he regularly comes into close contact with his players. ",5
422,Maxine Goodfe,"low, a 17 year old girl, goes to her school's highschool dance. Everybody wears masks but does not social distance for the entire event. ",5
423,A fitness coa,h working at Orange fitness has one on one sessions with 4 of her clients. All of her clients wear masks for each of their 1 hour sessions and stay 6 feet away from her. The gym is small and poorly ventilated. ,3
424,A 55 year old,"woman goes to work at a large bank in New York City. She wears a mask while at work, but not everyone else does. Her desk is not socially distanced from the rest of her team. ",4
425,An older man ,ith COPD goes to get some ice cream from the local shop. He places his order outside and does his transaction with the business through a plastic shileld while wearing a mask.,1
426,A 33 year old,"actress is working on a movie, masks are worn at all times while on stage and social distancing is observed. All takes are done without masks and without social distancing. ",3
427,a 74 year old,man goes to the supermarket without a mask. No one else wears a mask or practices social distancing.,5
428,A 15 year old,"student tutors middle schoolers in his free time. He goes to their houses for 1 hour twice a week, all parties wear masks and sit at the same table together.",3
429,A 12 year old,boy plays soccer outside with 3 friends. No one socially distances or wears masks.,3
430,A mathematics,professor teaches a class at the local university. His class of 20 students all wear masks but sit within 6 feet of each other for the entire 90 minute class. ,3
431,A 65 year old,"optometrist sees patients at his office on a Tuesday afternoon. He sees 10 patients in a day all of whom wear masks but are in the waiting room of his office for about an hour, he must routinely touch their faces to get their perscriptions. ",3
432,A 9 year old ,irl plays in the park with her two sisters. All three are homeschool and do not see anyone outside their household. Both parents work from home. ,1
433,A 63 year old,man went to the doctor's office. He has significant health problems. He wore a mask and all of the doctors wore face shields.,2
434,A 23 year old,woman goes to a busy nightclub. No one wears a mask or socially distances.,5
435,A 62-year-old,"woman is planning a retirement party at their house for her husband, who is 66. They will invite over only immediate family, and several collogues to celebrate (14 people in total).  They plan to have a variety of finger food and dips for everyone and will have the celebration in their living room. The man is retiring because of health issues, which include a back injury which occurred several years prior and due to respiratory issues (mesothelioma) that resulted from exposure to asbestos. While eating they will not be wearing masks",6
436,A middle aged,man with diabetes goes for a run in neighborhood alone.  ,1
437,A 9 year old ,"oy plays with his friend at the playground, his friends parents rountinely go out without masks and do not pracice social distancing ever. The two boys wrestle and don't wear masks when they play.",4
438,A janitor at ,he local hospital disinfects patients rooms of COVID-19 patients after they have been released from the hospital. He wears a fitted N-95 mask and practices social distancing. ,2
439,A 31 year old,healthy woman goes to work and sits in a small room with two other people. No one is socially distancing and no one is wearing a mask.,5
440,A 20 year old,"college student goes to a frat party with forty people present. They all get tested every week and recently tested positive, and do not wear masks at the party. ",6
441,A 52 year old,man goes to a farmer's market. It is crowded and no one is socially distancing. Everyone wears masks.,1
442,A 16 year old,boy with no previous health issues rides the school bus with a 3 foot distance between his nearest neighbor. Everyone is wearing a mask and there are 12 people on this bus. ,2
443,The leader of,a think tank in Washington D.C. invites 25 of their collaborators over to his house for dinner. They all share dinner together without masks. The host is 40 year old.,6
444,A 40 year old,with diabetes goes kayaking on the lake by himself. ,1
445,Two twenty fo,"r year olds who live together go to a drive-in movie theater. They only encounter the person who takes their tickets, and wear masks while talking to him from their car window. ",1
446,A 57 year old,musician goes to a studio with 4 of his band mates who do not live with him. They work together in a room for 1 hour without masks and poor ventilation. ,6
447,A 38 year old,man goes to work each day in a small office space with the same 7 people. He gets weekly COVID-19 testing but isn't sure whether his colleagues do the same. ,4
448,A 31 year old,graduate student takes virtual classes and sees her boyfriend without a mask regularly. They get take out from restaurants regularly but don't socialize with other people.  ,1
449,A 50 year old,goes to her favorite Italian restaurant on a busy Friday night with a few friends from out of town. They don't practice social distancing or wear face masks while at the restaurant.,6
450,A 42 year old,"man picks his son up from daycare. He interacts closely with two teachers, who are wearing masks. He does not wear a mask.",1
451,A 28 year old,"man does not wear a mask while at his apartment complex gym, but the other 5 people in the gym do. They are socially distanced from one another. ",2
452,The front des, nurse at a hospital in central Texas checks in a man who has a confirmed case of COVID-19. She keeps 6 feet of distance from him and wears a surgical mask. ,5
453,A museum cura,or works in person 5 days a week masked with few patrons attending the museum. She has chronic asthma and diabetes. ,3
454,A 17 year old,girl attends a one direction concert at a stadium event. She wears a mask but many of those who are crowded shoulder to shoulder with her do not. ,6
455,100 extended ,amily members got together for a family reunion at a bed and breakfast in a rural town. None wore masks and were not tested for COVID before the event and did not socially distance. ,6
456,An obese 56 y,ar old man with several health issues goes to a crowded bar. No one socially distances or wears masks.,6
